Month,bitcoin_trend,bitcoin_price,bitcoin_normalized_trend,bitcoin_peak,bitcoin_trough,bitcoin_norm_peak,bitcoin_norm_trough,bitcoin_pct_change_1m,bitcoin_pct_change_3m,bitcoin_pct_change_6m,bitcoin_positive_trend,bitcoin_negative_trend,bitcoin_bull_1m,bitcoin_bear_1m,bitcoin_bull_3m,bitcoin_bear_3m,bitcoin_bull_6m,bitcoin_bear_6m,ethereum_trend,ethereum_price,ethereum_normalized_trend,ethereum_peak,ethereum_trough,ethereum_norm_peak,ethereum_norm_trough,ethereum_pct_change_1m,ethereum_pct_change_3m,ethereum_pct_change_6m,ethereum_positive_trend,ethereum_negative_trend,ethereum_bull_1m,ethereum_bear_1m,ethereum_bull_3m,ethereum_bear_3m,ethereum_bull_6m,ethereum_bear_6m
2014-09,3.0,423.3055038452149,,False,False,False,False,,,,False,False,False,False,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2014-10,3.0,356.6855010986328,,False,False,False,False,-15.738043125218192,,,False,False,False,True,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2014-11,3.0,373.6039962768554,,False,False,False,False,4.743252844904444,,,False,False,True,False,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2014-12,3.0,346.67799377441406,,False,False,False,False,-7.2070970253990785,-18.102176648952884,,False,False,False,True,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-01,3.0,257.46099853515625,,False,False,False,False,-25.73483083478093,-27.818484984069592,,False,False,False,True,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-02,3.0,237.1889991760254,,False,False,False,False,-7.873813693907006,-36.51325961720738,,False,False,False,True,False,True,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-03,3.0,258.7665023803711,,False,False,False,False,9.097177052605353,-25.358255491477088,-38.87003593627,False,False,True,False,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-04,2.0,239.26000213623047,-2.4748737341529163,False,False,False,True,-7.53826328551106,-7.069418864403431,-32.92129862321798,False,False,False,True,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-05,2.0,235.6264991760254,-1.7638342073763937,False,False,False,True,-1.5186420328359929,-0.658757364560747,-36.93148319499859,False,False,False,True,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-06,2.0,245.617000579834,-1.4491376746189444,False,False,False,False,4.239973618733428,-5.081608971631157,-29.1512570770042,False,False,True,False,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-07,3.0,278.97350311279297,0.5838742081211427,False,False,True,False,13.580697775078043,16.59847054333399,8.355636271137667,False,False,True,False,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-08,3.0,250.00600051879883,0.5527707983925666,False,False,False,False,-10.383603557604593,6.102667311638488,5.403708176727684,False,False,False,True,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-09,2.0,237.65375137329104,-1.3540064007726598,False,False,False,True,-4.94078106920437,-3.242140889166434,-8.158996938500785,False,False,False,True,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-10,3.0,279.9887466430664,0.6770032003863303,False,False,False,False,17.813729017590084,0.3639211319158786,17.022797017131897,False,False,True,False,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-11,4.0,372.2212600708008,2.0109991663496096,False,False,True,False,32.94150730468952,48.884930481023446,57.970882465444575,False,False,True,False,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-12,4.0,406.63724517822266,1.6254712740448838,False,False,True,False,9.246109451371897,71.10491327338795,65.55745091677866,False,False,True,False,True,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2016-01,3.0,404.33399963378906,0.23221018200641177,False,False,False,False,-0.5664128339803454,44.41080382035487,44.936345252226715,False,False,False,True,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2016-02,3.0,405.7624969482422,0.23221018200641177,False,False,False,False,0.3532963628453123,9.011101856745496,62.30110321601321,False,False,True,False,False,False,False,False,1.0,,3.1754264805429417,False,False,True,False,,,,False,False,False,False,False,False,False,False
2016-03,3.0,422.0835037231446,0.23221018200641177,False,False,False,False,4.022305387425762,3.7985351140553014,77.60439348595145,False,False,True,False,False,False,False,False,2.0,,2.848173870268498,False,False,True,False,,,,False,False,False,False,False,False,False,False
2016-04,3.0,437.21849822998047,0.12464639250231777,False,False,False,True,3.5857820486543623,8.133003562889929,56.155739640262325,False,False,True,False,True,False,False,False,1.0,,0.9704117340059144,False,False,False,True,,,,False,False,False,False,False,False,False,False
2016-05,4.0,492.8047561645508,1.3711103175254928,False,False,False,False,12.71361073687498,21.451528879814497,32.395649853749255,False,False,True,False,True,False,False,False,2.0,,1.9050910417170486,False,False,True,False,,,,False,False,False,False,False,False,False,False
2016-06,5.0,627.0174865722656,2.140872096444188,False,False,True,False,27.234463289737466,48.552947708551656,54.19578359022519,False,False,True,False,True,False,False,False,3.0,,2.169187439955308,False,False,True,False,,,,False,False,False,False,False,False,False,False
2016-07,3.0,653.49951171875,-0.4281744192888378,False,False,False,False,4.223490686241371,49.4674892220603,61.623685445852594,False,False,True,False,True,False,True,False,2.0,,0.995723363160911,False,False,False,False,,,,False,False,False,False,False,False,False,False
2016-08,3.0,589.3817443847656,-0.4281744192888378,False,False,False,False,-9.811448391958255,19.597413988424893,45.25288778966316,False,False,False,True,False,False,False,False,1.0,,-0.04161153637758182,False,False,False,False,,,,False,False,False,False,False,False,False,False
2016-09,3.0,596.2274932861328,-0.6232319625115875,False,False,False,True,1.1615135634228446,-4.910547783037655,41.25818422821228,False,False,True,False,False,False,False,False,1.0,,-0.12189466158754322,False,False,False,False,,,,False,False,False,False,False,False,False,False
2016-10,3.0,660.1954956054688,-0.6232319625115875,False,False,False,False,10.728791114071857,1.0246348721987264,50.99898523922941,False,False,True,False,False,False,False,False,1.0,,-0.21202311764637594,False,False,False,False,,,,False,False,False,False,False,False,False,False
2016-11,4.0,720.3552398681641,0.8725247475162231,False,False,False,False,9.11241362038111,22.222183963318543,46.17457134030432,False,False,True,False,True,False,False,False,1.0,,-0.3173567512788413,False,False,False,False,,,,False,False,False,False,False,False,False,False
2016-12,5.0,858.8079986572266,1.8803495115840256,False,False,True,False,19.220066867897213,44.04032157656306,36.96715275870481,False,False,True,False,True,False,False,False,1.0,,-0.44760834075697065,False,False,False,False,,,,False,False,False,False,False,False,False,False
2017-01,6.0,970.229248046875,2.1321159366570424,False,False,True,False,12.973941738299954,46.9609009005844,48.46671353970922,False,False,True,False,True,False,False,False,1.0,,-0.6232319625115879,False,False,False,True,,,,False,False,False,False,False,False,False,False
2017-02,6.0,1074.4979858398438,1.6583123951776997,False,False,True,False,10.746814528923698,49.16223640387389,82.30934298134285,False,False,True,False,True,False,True,False,1.0,,-0.6232319625115879,False,False,False,False,,,,False,False,False,False,False,False,False,False
2017-03,7.0,1108.9632873535156,1.8576814560512958,False,False,True,False,3.2075724634079483,29.12819734881542,85.9966707072527,False,False,True,False,True,False,True,False,5.0,,2.70801280154532,False,False,True,False,,,,False,False,False,False,False,False,False,False
2017-04,6.0,1207.1499938964844,0.9814954576223638,False,False,False,True,8.853918579873499,24.419048006081432,82.84735384166788,False,False,True,False,True,False,True,False,4.0,,1.5108065794747947,False,False,True,True,,,,False,False,False,False,False,False,False,False
2017-05,15.0,1936.6799926757812,2.864357773488754,False,False,True,False,60.43408047615462,80.24044886059447,168.85068442484337,False,False,True,False,True,False,True,False,13.0,,2.9165093176889134,False,False,True,False,,,,False,False,False,False,False,False,False,False
2017-06,15.0,2495.510009765625,2.019097418641535,True,False,True,False,28.85505190342499,125.03089491096074,190.5783380764308,False,False,True,False,True,False,True,False,29.0,,2.883567344440088,False,False,True,False,,,,False,False,False,False,False,False,False,False
2017-07,13.0,2531.7775268554688,1.2822225549146562,False,False,False,True,1.4533108241569392,109.73180960580562,160.94632087747064,False,False,True,False,True,False,True,False,17.0,,1.203083380903504,False,False,False,False,,,,False,False,False,False,False,False,False,False
2017-08,21.0,3744.83251953125,2.113266573557014,False,False,True,False,47.913174827111526,93.36351558820337,248.5192684288033,False,False,True,False,True,False,True,False,15.0,,0.8333302838964728,False,False,False,False,,,,False,False,False,False,False,False,False,False
2017-09,21.0,4240.532470703125,1.6614613415601016,False,False,True,False,13.236905751767058,69.92648613344532,282.3870924368416,False,False,True,False,True,False,True,False,13.0,,0.5098556795550712,False,False,False,False,,,,False,False,False,False,False,False,False,False
2017-10,22.0,5360.982421875,1.4819179329824614,False,True,False,True,26.422388200368907,111.74776871226419,344.1024271201475,False,False,True,False,True,False,True,False,12.0,,0.30576575328694694,False,False,False,True,,,,False,False,False,False,False,False,False,False
2017-11,46.0,8427.744995117188,2.6401017738801213,False,False,True,False,57.205234636258886,125.04998424260934,335.1645613622071,False,False,True,False,True,False,True,False,21.0,393.1520004272461,1.1244411127720093,False,False,False,False,,,,False,False,False,False,False,False,False,False
2017-12,100.0,13534.66259765625,2.882089366999833,True,False,True,False,60.596489398977724,219.17365781689347,442.36058139183376,False,False,True,False,True,False,True,False,38.0,624.5742416381836,2.1314991921145823,False,False,True,False,58.86329993474442,,,False,False,True,False,False,False,False,False
2018-01,57.0,12861.99755859375,1.0673123629104848,False,False,False,False,-4.96994316784064,139.9186668867173,408.0224238568337,False,False,False,True,False,False,False,False,38.0,1012.2377777099608,1.6899749369357286,False,False,True,False,62.06844762841677,,,False,False,True,False,False,False,False,False
2018-02,41.0,9660.489990234377,0.3936975975628101,False,False,False,False,-24.891215798904298,14.627222297677612,157.9685457186642,True,False,False,True,False,False,False,False,17.0,927.5844879150392,-0.13348623342516966,False,False,False,False,-8.362984632566995,135.93533465606552,,False,False,False,True,False,False,False,False
2018-03,25.0,8936.639892578125,-0.26114601524351994,False,False,False,False,-7.492892165800901,-33.972200429099345,110.7433430664507,False,False,False,True,False,True,False,False,11.0,625.3510055541992,-0.7474825474418508,False,False,False,False,-32.582852160473244,0.12436694699067274,,False,False,False,True,False,False,False,False
2018-04,18.0,8128.9500732421875,-0.5861863499990534,False,False,False,False,-9.037958662816026,-36.79869681042798,51.63172406745353,False,True,False,True,False,True,False,False,9.0,534.9645004272461,-1.0264224126688208,False,False,False,False,-14.453723480759528,-47.150312682705376,,False,False,False,True,False,True,False,False
2018-05,14.0,8450.204956054688,-0.7390491439886281,False,False,False,False,3.9519849416957964,-12.528195106077911,0.2665002435469077,False,True,True,False,False,False,False,False,9.0,648.9292602539062,-0.9658417356560394,False,False,False,False,21.303237828985466,-30.04095382054901,65.05810972567912,False,False,True,False,False,False,False,False
2018-06,13.0,6871.5001220703125,-0.7678575676888633,False,False,False,False,-18.68244429803103,-23.108682853193063,-49.230355226880754,False,True,False,True,False,False,False,False,7.0,516.577995300293,-0.9788170930027755,False,False,False,False,-20.39533013225945,-17.393913064473175,-17.291178396122998,False,False,False,True,False,False,False,False
2018-07,13.0,7188.202392578125,-0.7678575676888633,False,False,False,False,4.6089247599750305,-11.572806723966632,-44.112861475585305,False,True,True,False,False,False,False,False,5.0,456.33799743652344,-1.0176743827667967,False,False,False,False,-11.66135577043914,-14.697517859208986,-54.91790491470086,False,False,False,True,False,False,False,False
2018-08,13.0,7136.677490234375,-0.7293850975333623,False,False,False,False,-0.7167981580060934,-15.544326707474143,-26.125098235713516,False,True,False,True,False,False,False,False,6.0,351.7449951171875,-0.8300188538279861,False,False,False,False,-22.920073039476584,-45.79609571318137,-62.07946556891915,False,False,False,True,False,True,False,False
2018-09,12.0,6814.080078125,-0.7258630476944579,False,False,False,False,-4.52027449118736,-0.8356260339847377,-23.751206717145557,False,True,False,True,False,False,False,False,6.0,246.9362564086914,-0.7583089201077475,False,False,False,False,-29.796796020815584,-52.19768192697709,-60.51237557540164,False,False,False,True,False,True,False,False
2018-10,10.0,6534.74755859375,-0.7467894205685017,False,False,False,False,-4.099343070944839,-9.090657139246272,-19.611419682549467,False,True,False,True,False,True,False,False,4.0,213.36325073242188,-0.8429980173089257,False,False,False,False,-13.595818679904415,-53.2444696845345,-60.11637210281792,False,False,False,True,False,True,False,False
2018-11,14.0,5118.1572265625,-0.5022598985211882,False,False,False,False,-21.677812636668925,-28.28375341934619,-39.43156109018078,False,True,False,True,False,True,False,False,5.0,158.53260231018066,-0.6473911397599141,False,False,False,False,-25.698262579906107,-54.929677888561315,-75.57012574095492,False,False,False,True,False,True,False,True
2018-12,13.0,3816.96142578125,-0.504658400614147,False,False,False,False,-25.423130692981278,-43.984200625485656,-44.45228322820376,False,True,False,True,False,True,False,False,5.0,121.8161506652832,-0.5452574242312219,False,False,False,False,-23.160189834680832,-50.66898946436136,-76.41863343511757,False,False,False,True,False,True,False,True
2019-01,10.0,3678.5867309570312,-0.7244639426703384,False,False,False,False,-3.6252578789395695,-43.70728634927333,-48.824663941638576,False,True,False,True,False,True,False,True,4.0,126.16012954711914,-0.888948752773452,False,False,False,False,3.566012271863661,-40.870731433813724,-72.35379691022376,False,False,True,False,False,False,False,False
2019-02,10.0,3729.2494506835938,-0.8970041164428978,False,False,False,False,1.3772332537442145,-27.13687201070484,-47.7452994648197,False,True,True,False,False,False,False,False,4.0,128.0945281982422,-0.9777569144173839,False,False,False,False,1.5332884153393067,-19.1998829694249,-63.583126987900386,False,False,True,False,False,False,False,False
2019-03,9.0,3997.429443359375,-1.3852616257190227,False,True,False,True,7.1912591587731445,4.728054529426817,-41.335743085964296,True,False,True,False,False,False,False,False,3.0,138.3415699005127,-1.339450495795093,False,False,False,True,7.999593617622702,13.565868848242246,-43.97680927358406,False,False,True,False,True,False,False,False
2019-04,12.0,4798.7586669921875,0.048173385862795626,False,False,False,False,20.046113008048195,30.45114925817527,-26.565508094013346,True,False,True,False,True,False,False,False,4.0,157.1867332458496,-0.7104094931376502,False,False,False,False,13.622198561783904,24.59303411474576,-26.32905024353188,False,False,True,False,True,False,False,False
2019-05,17.0,7070.34423828125,2.1882189738308595,False,False,True,False,47.33694125762047,89.59161439268198,38.1423806519108,True,False,True,False,True,False,False,False,5.0,219.29048919677737,0.1495249931524412,False,False,False,False,39.5095404481711,71.194267453328,38.325168451924775,False,False,True,False,True,False,False,False
2019-06,21.0,10187.993286132812,2.416190233228335,False,False,True,False,44.09472782062789,154.8636174944213,166.91370830522737,True,False,True,False,True,False,False,False,6.0,287.44636154174805,1.2949244257070978,False,False,False,False,31.080177072254102,107.78017897907546,135.96736555201986,False,False,True,False,True,False,True,False
2019-07,19.0,10793.8056640625,1.4827267319196749,True,False,False,False,5.946336642705452,124.92912048915237,193.42262269440508,True,False,True,False,True,False,True,False,8.0,255.28404235839844,2.2248595461287572,False,False,True,False,-11.188981140983556,62.408135271262786,102.34922338364689,False,False,False,True,False,False,False,False
2019-08,16.0,10350.889404296877,0.6203877914785446,False,False,False,False,-4.103430000044317,46.39866257506444,177.55958782535978,False,False,False,True,False,False,False,False,4.0,199.30292510986328,-0.6232319625116044,False,False,False,False,-21.928952836755123,-9.114651602139713,55.59050641212189,False,False,False,True,False,False,False,False
2019-09,12.0,9163.495361328123,-0.4064609668307709,False,False,False,False,-11.471420441182968,-10.05593443214342,129.23469922779353,False,True,False,True,False,False,False,False,3.0,183.08315658569336,-1.148213000400873,False,False,False,True,-8.138249107597883,-36.30701895000234,32.341390022793746,False,False,False,True,False,True,False,False
2019-10,12.0,8742.009643554688,-0.46432747064976654,False,True,False,False,-4.5996172983531425,-19.009013913778126,82.17231267923061,False,True,False,True,False,True,False,False,3.0,179.39549255371094,-1.0373461122122112,False,False,False,False,-2.0142016888683,-29.72710283948968,14.128901879476995,False,False,False,True,False,True,False,False
2019-11,12.0,8221.460205078125,-0.4165661476373985,False,False,False,False,-5.95457405907066,-20.572427315615794,16.280904125775674,False,True,False,True,False,True,False,False,3.0,165.92324447631836,-0.8903891243680074,False,False,False,False,-7.509802997619353,-16.748214114341163,-24.33632435037829,False,False,False,True,False,True,False,False
2019-12,11.0,7262.174072265625,-0.6241382808046553,False,False,False,True,-11.668074878231248,-20.74886507921937,-28.718307243582586,False,True,False,True,False,True,False,False,3.0,138.75955963134766,-0.7637626158259897,False,False,False,False,-16.371235344814917,-24.20954378378315,-51.72679908449822,False,False,False,True,False,True,False,True
2020-01,13.0,8253.385864257812,-0.17895052295316854,False,False,False,False,13.64896768004562,-5.5893758897546775,-23.535904562955988,False,True,True,False,False,False,False,False,4.0,155.63533401489258,-0.10910894511799869,False,False,False,False,12.161882344092167,-13.244568300234505,-39.03444470046703,False,False,True,False,False,False,False,False
2020-02,14.0,9224.1064453125,0.0,False,False,False,False,11.76148306913043,12.195476414458263,-10.88585642231502,True,False,True,False,False,False,False,False,6.0,216.7077865600586,1.0324202016951516,False,False,True,False,39.24073728612427,30.60724990282391,8.732868040246311,False,False,True,False,False,False,False,False
2020-03,19.0,7078.2698974609375,1.2135870333746384,False,False,True,False,-23.263354131630088,-2.5323570183620525,-22.755786756517338,True,False,False,True,False,False,False,False,5.0,174.62726020812988,0.31914236925211903,False,False,False,False,-19.418096146843567,25.848814072395786,-4.6186096718327185,False,False,False,True,False,False,False,False
